index,most_likely,num_votes,agreement,aggregation_version,subject_id,task,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason,created_at,updated_at,subject_page_url
91307298,yes,7,0.7,4.1.0,91307298,T0,10996,13193.0,115079,"{""ramean"":273.9951597142857,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF23aawlztf"",""decmean"":23.80382247142857,""objectId"":""ZTF23aawlztf""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/2f8f7d1d-2a6b-4c87-8ef1-7695bc30d97f.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/bf89516a-6132-4e97-9f87-1389ddc07231.jpeg""}",10,2023-08-18 16:09:49 UTC,classification_count,2023-08-16 10:03:43 UTC,2023-08-16 10:03:43 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/91307298><div>91307298</div></a>
90184764,yes,7,0.7,4.1.0,90184764,T0,10996,13193.0,114179,"{""ramean"":300.12188969999994,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF22abazrjk"",""decmean"":34.88588928666666,""objectId"":""ZTF22abazrjk""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/1adf87d8-544d-4d0e-88bd-94e8e975ea2f.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/bb29e774-364f-4e25-b1ac-740c2a06806c.jpeg""}",10,2023-07-05 15:49:07 UTC,classification_count,2023-06-21 09:59:59 UTC,2023-06-21 09:59:59 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/90184764><div>90184764</div></a>
91200782,yes,7,0.7,4.1.0,91200782,T0,10996,13193.0,114998,"{""ramean"":239.7456502514286,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF23aaspcfl"",""decmean"":76.5036553457143,""objectId"":""ZTF23aaspcfl""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/458ec51d-1412-4481-b743-0701dbe80718.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/157bbd95-142a-40e9-97a8-a572535394c5.jpeg""}",10,2023-08-17 17:03:09 UTC,classification_count,2023-08-09 10:02:15 UTC,2023-08-09 10:02:15 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/91200782><div>91200782</div></a>
90184743,yes,7,0.7,4.1.0,90184743,T0,10996,13193.0,114179,"{""ramean"":197.76389979999996,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF23aalrgqn"",""decmean"":68.15795573846154,""objectId"":""ZTF23aalrgqn""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/a73c6cf6-e730-4fb6-86de-00066b00d5b2.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/bb5e1d57-5724-4f74-b107-66263f59749a.jpeg""}",10,2023-07-04 03:50:25 UTC,classification_count,2023-06-21 09:59:52 UTC,2023-06-21 09:59:52 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/90184743><div>90184743</div></a>
84312600,yes,7,0.7,4.1.0,84312600,T0,10996,13193.0,111044,"{""ramean"":2.5415288,""decmean"":-4.710508989999999,""objectId"":""ZTF18adolaxz""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/bca443d1-e907-40e9-8abd-88b9a7a2db0a.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/2c0efcc0-7320-4ffe-ab3f-397acd8b5385.jpeg""}",10,2023-07-04 08:15:39 UTC,classification_count,2023-01-20 15:25:17 UTC,2023-01-20 15:25:17 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/84312600><div>84312600</div></a>
92788274,yes,7,0.7,4.1.0,92788274,T0,10996,13193.0,116866,"{""ramean"":20.00464213181818,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF23aazfine"",""decmean"":-26.465629136363642,""objectId"":""ZTF23aazfine""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/1124a601-f0cb-4b31-bf53-12cf00590c53.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/2bf58c22-5833-4b3a-b2ee-595092224c17.jpeg""}",10,2023-10-26 20:13:17 UTC,classification_count,2023-10-24 21:41:39 UTC,2023-10-24 21:41:39 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/92788274><div>92788274</div></a>
91307288,yes,7,0.7,4.1.0,91307288,T0,10996,13193.0,115079,"{""ramean"":29.165760214285715,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF23aamskdj"",""decmean"":43.33882615714284,""objectId"":""ZTF23aamskdj""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/b21f36c2-5ef0-485c-a1a7-b7dd5b9fd010.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/28e16e66-7298-4198-a874-2d81d09004ba.jpeg""}",10,2023-08-19 15:03:42 UTC,classification_count,2023-08-16 10:03:41 UTC,2023-08-16 10:03:41 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/91307288><div>91307288</div></a>
91583011,yes,7,0.7,4.1.0,91583011,T0,10996,13193.0,115268,"{""ramean"":275.92287576923076,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF22aaknmli"",""decmean"":60.87361730769231,""objectId"":""ZTF22aaknmli""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/7dcf9572-0d9d-4054-8679-d228b8b0b0eb.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/e9166359-c39b-48e2-8874-603d6993869d.jpeg""}",10,2023-09-05 21:53:25 UTC,classification_count,2023-08-30 10:04:07 UTC,2023-08-30 10:04:07 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/91583011><div>91583011</div></a>
84156402,yes,48,0.676056338028169,4.1.0,84156402,T0,10996,13193.0,110870,"{""ramean"":2.5415244699999997,""decmean"":-4.71049648,""objectId"":""ZTF18adolaxz""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/1cc4fc76-eec6-4ebd-9424-ee9045e7a7b4.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/109cf293-979c-4551-a778-24df8aa35c47.jpeg""}",97,2023-07-02 05:22:01 UTC,classification_count,2023-01-11 11:46:54 UTC,2023-01-11 11:46:54 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/84156402><div>84156402</div></a>
84156393,yes,53,0.6708860759493671,4.1.0,84156393,T0,10996,13193.0,110870,"{""ramean"":111.64719634000001,""decmean"":-15.53184257,""objectId"":""ZTF19aaljkwd""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/32365746-20e4-436f-9c48-0de6b636abe7.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/04fa296c-fee5-4c4d-b6a8-f9ca813ee899.jpeg""}",103,2023-07-01 19:43:53 UTC,classification_count,2023-01-11 11:46:47 UTC,2023-01-11 11:46:47 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/84156393><div>84156393</div></a>
